oid,nombre,fecha_in,fecha_fin,periodo
0,San Sebastián,1479-01-01,1480-01-01,Renacimiento
1,La Anunciación,1472-01-01,1475-01-01,Renacimiento
2,Bautismo de Cristo,1472-01-01,1475-01-01,Renacimiento
3,La Estatua de San Pedro,1300-01-01,1305-01-01,Gótico
4,El Santo Entierro,1602-01-01,1604-01-01,Barroco
5,Tondo Taddei,1504-01-01,1506-01-01,Renacimiento
6,Crucifixión de San Pedro,1600-01-01,1601-01-01,Barroco
7,La Anunciación,1607-01-01,1608-01-01,Barroco
8,La cabeza de Medusa,1596-01-01,1597-01-01,Barroco
9,María Magdalena Penitente,1453-01-01,1455-01-01,Renacimiento
10,La Libertad guiando al pueblo,1829-01-01,1830-01-01,Romanticismo
11,El juicio Final,1541-01-01,1563-01-01,Renacimiento
12,Pitufiescultura,2018-01-01,2019-01-01,Neoclasicismo Romano de mediados del siglo XVII 1/2
13,PitufiFresco,2019-01-01,2020-01-01,Neoclasicismo Romano de mediados del siglo XVII 1/2
14,La Fuente de Neptuno,1573-01-01,1574-01-01,Renacimiento
15,La Fuente de los Cuatro Ríos,1648-01-01,1651-01-01,Barroco
16,La anunciación,1618-01-01,1619-01-01,Barroco
17,Éxtasis de Santa Teresa,1645-01-01,1652-01-01,Barroco
18,Pulcin della Minerva,1666-01-01,1667-01-01,Barroco
19,Santos Piazza San Pietro,1656-01-01,1667-01-01,Barroco
20,Apolo y Dafne,1622-01-01,1625-01-01,Barroco
21,El juicio Final,1541-01-01,1563-01-01,Renacimiento
22,Maesta di Ognissanti,1309-01-01,1310-01-01,Gótico
23,La anunciación,1300-01-01,1304-01-01,Gótico
24,Polittico di Badia,1299-01-01,1300-01-01,Gótico
25,La consagración de Napoleón,1805-01-01,1807-01-01,Neoclasicismo
26,Manneken Pis,1618-01-01,1619-01-01,Barroco
27,Pitufiescultura,2018-01-01,2019-01-01,Neoclasicismo Romano de mediados del siglo XVII 1/2
28,Bautismo de Cristo,1472-01-01,1475-01-01,Renacimiento
29,La última cena,1495-01-01,1498-01-01,Renacimiento
30,La Anunciación,1472-01-01,1475-01-01,Renacimiento
31,La Mona Lisa,1503-01-01,1519-01-01,Renacimiento
32,La Piedad,1498-01-01,1499-01-01,Renacimiento
33,El David,1501-01-01,1504-01-01,Renacimiento
34,El Moisés,1513-01-01,1515-01-01,Renacimiento
35,La creación de Adán,1500-01-01,1511-01-01,Renacimiento
36,El Juicio Final,1537-01-01,1541-01-01,Renacimiento
37,Estancias de Rafael,1508-01-01,1524-01-01,Renacimiento
38,La transfiguración,1517-01-01,1520-01-01,Renacimiento
39,Madonna Sixtina,1513-01-01,1514-01-01,Renacimiento
40,Las Gracias,1504-01-01,1505-01-01,Renacimiento
41,La primavera,1477-01-01,1478-01-01,Renacimiento
42,El nacimiento de Venus,1482-01-01,1485-01-01,Renacimiento
